movie_id,title,release_date
9383,Hollow Man,2000-08-04
179,The Interpreter,2005-04-08
76285,Percy Jackson: Sea of Monsters,2013-08-07
1996,Lara Croft Tomb Raider: The Cradle of Life,2003-07-21
291805,Now You See Me 2,2016-06-02
10003,The Saint,1997-04-03
1535,Spy Game,2001-11-18
2067,Mission to Mars,2000-03-10
46195,Rio,2011-04-03
2277,Bicentennial Man,1999-12-17
10357,Volcano,1997-04-25
4477,The Devil's Own,1997-03-12
8665,K-19: The Widowmaker,2002-07-19
9387,Conan the Barbarian,1982-04-02
921,Cinderella Man,2005-06-02
49852,The Nutcracker: The Untold Story,2010-11-24
4464,Seabiscuit,2003-07-22
664,Twister,1996-05-10
8358,Cast Away,2000-12-22
9836,Happy Feet,2006-11-16
2502,The Bourne Supremacy,2004-07-23
9772,Air Force One,1997-07-25
161,Ocean's Eleven,2001-12-07
52451,The Three Musketeers,2011-08-31
76492,Hotel Transylvania,2012-09-20
4523,Enchanted,2007-11-20
59961,Safe House,2012-02-09
10481,102 Dalmatians,2000-10-07
59108,Tower Heist,2011-11-02
1581,The Holiday,2006-12-08
9798,Enemy of the State,1998-11-20
22897,It's Complicated,2009-12-23
298,Ocean's Thirteen,2007-06-07
7484,Open Season,2006-09-29
157350,Divergent,2014-03-14
853,Enemy at the Gates,2001-03-13
10159,The Rundown,2003-09-26
9593,Last Action Hero,1993-06-18
1904,Memoirs of a Geisha,2005-12-06
9615,The Fast and the Furious: Tokyo Drift,2006-06-03
51052,Arthur Christmas,2011-02-22
297,Meet Joe Black,1998-11-12
9884,Collateral Damage,2002-02-06
16858,All That Jazz,1979-12-20
62764,Mirror Mirror,2012-03-15
22538,Scott Pilgrim vs. the World,2010-07-27
9341,The Core,2003-03-28
12107,Nutty Professor II: The Klumps,2000-07-27
9637,Scooby-Doo,2002-06-14
49049,Dredd,2012-09-07
9339,Click,2006-06-22
16281,Creepshow,1982-11-12
39691,Cats & Dogs 2 : The Revenge of Kitty Galore,2010-07-30
8247,Jumper,2008-02-10
11253,Hellboy II: The Golden Army,2008-07-11
1949,Zodiac,2007-03-02
8452,The 6th Day,2000-11-17
310,Bruce Almighty,2003-05-23
27578,The Expendables,2010-08-03
954,Mission: Impossible,1996-05-22
70160,The Hunger Games,2012-03-12
45243,The Hangover Part II,2011-05-25
364,Batman Returns,1992-06-19
7518,Over the Hedge,2006-04-22
11544,Lilo & Stitch,2002-06-21
9986,Charlotte's Web,2006-12-15
8656,Deep Impact,1998-05-08
146216,RED 2,2013-07-18
9291,The Longest Yard,2005-05-19
55301,Alvin and the Chipmunks: Chipwrecked,2011-12-14
109418,Grown Ups 2,2013-07-11
11665,Get Smart,2008-06-19
6964,Something's Gotta Give,2003-12-12
11324,Shutter Island,2010-02-18
12193,Four Christmases,2008-11-26
9928,Robots,2005-03-10
754,Face/Off,1997-06-27
10202,Bedtime Stories,2008-12-24
4147,Road to Perdition,2002-07-12
50546,Just Go with It,2011-02-10
1701,Con Air,1997-06-01
13027,Eagle Eye,2008-09-25
2289,Cold Mountain,2003-12-24
20504,The Book of Eli,2010-01-14
9574,Flubber,1997-11-26
11618,The Haunting,1999-07-23
2300,Space Jam,1996-11-15
12096,The Pink Panther,2006-01-18
10200,The Day the Earth Stood Still,2008-12-10
8834,Conspiracy Theory,1997-08-07
228150,Fury,2014-10-15
6068,Six Days Seven Nights,1998-06-12
41515,Yogi Bear,2010-12-11
9023,Spirit: Stallion of the Cimarron,2002-05-24
38317,Zookeeper,2011-07-06
2157,Lost in Space,1998-04-03
14462,The Manchurian Candidate,2004-07-30
161795,Déjà Vu,1998-04-22
159824,Hotel Transylvania 2,2015-09-21
49948,Fantasia 2000,1999-12-17
2135,The Time Machine,2002-03-04
9822,Mighty Joe Young,1998-12-25
9705,Swordfish,2001-06-07
1656,The Legend of Zorro,2005-10-24
12159,What Dreams May Come,1998-10-02
9678,Little Nicky,2000-11-10
4442,The Brothers Grimm,2005-08-26
75,Mars Attacks!,1996-12-12
330770,Evolution,2015-09-14
9433,The Edge,1997-09-06
19959,Surrogates,2009-09-24
11973,Thirteen Days,2000-12-24
11228,Daylight,1996-12-06
77951,Walking With Dinosaurs,2013-12-18
5491,Battlefield Earth,2000-05-10
10715,Looney Tunes: Back in Action,2003-11-14
10197,Nine,2009-12-03
9562,Timeline,2003-11-26
9922,The Postman,1997-12-25
9447,Babe: Pig in the City,1998-11-25
274854,The Last Witch Hunter,2015-10-21
8870,Red Planet,2000-11-10
9992,Arthur and the Invisibles,2006-12-13
36970,Oceans,2009-10-17
10077,A Sound of Thunder,2005-05-15
76649,Pompeii,2014-02-18
293644,Top Cat Begins,2015-10-30
453,A Beautiful Mind,2001-12-11
8587,The Lion King,1994-06-23
72545,Journey 2: The Mysterious Island,2012-01-19
109451,Cloudy with a Chance of Meatballs 2,2013-09-26
9533,Red Dragon,2002-09-29
2023,Hidalgo,2004-03-05
71880,Jack and Jill,2011-11-11
584,2 Fast 2 Furious,2003-06-05
309809,The Little Prince,2015-07-29
4858,The Invasion,2007-08-17
17711,The Adventures of Rocky & Bullwinkle,2000-06-30
328111,The Secret Life of Pets,2016-06-18
8698,The League of Extraordinary Gentlemen,2003-07-11
93456,Despicable Me 2,2013-06-25
602,Independence Day,1996-06-25
330,The Lost World: Jurassic Park,1997-05-23
953,Madagascar,2005-05-25
9693,Children of Men,2006-09-22
36657,X-Men,2000-07-13
8909,Wanted,2008-06-19
9802,The Rock,1996-06-06
950,Ice Age: The Meltdown,2006-03-23
1824,50 First Dates,2004-02-13
2976,Hairspray,2007-07-13
11026,Exorcist: The Beginning,2004-08-20
332,Inspector Gadget,1999-07-23
75656,Now You See Me,2013-05-29
38365,Grown Ups,2010-06-24
594,The Terminal,2004-06-17
15189,Hotel for Dogs,2009-01-16
11678,Vertical Limit,2000-12-08
6538,Charlie Wilson's War,2007-12-19
10555,Shark Tale,2004-09-20
1125,Dreamgirls,2006-12-25
4551,Be Cool,2005-03-04
612,Munich,2005-12-22
9567,Tears of the Sun,2003-03-07
37821,Killers,2010-06-04
203801,The Man from U.N.C.L.E.,2015-08-13
2539,Spanglish,2004-12-17
9297,Monster House,2006-07-21
3172,Bandits,2001-10-12
6520,First Knight,1995-07-07
1439,Anna and the King,1999-12-16
37958,Immortals,2011-11-10
2026,Hostage,2005-03-09
7450,Titan A.E.,2000-06-16
11375,Hollywood Homicide,2003-06-09
9425,Soldier,1998-10-23
25769,Carriers,2009-09-04
23685,Monkeybone,2001-02-23
11866,Flight of the Phoenix,2004-12-17
9741,Unbreakable,2000-11-13
211672,Minions,2015-06-17
23629,Sucker Punch,2011-03-24
8688,Snake Eyes,1998-08-07
10153,Sphere,1998-02-13
153518,The Angry Birds Movie,2016-05-11
8676,Fool's Gold,2008-02-07
20829,Funny People,2009-07-31
4349,The Kingdom,2007-08-22
9718,Talladega Nights: The Ballad of Ricky Bobby,2006-08-04
10808,Dr. Dolittle 2,2001-06-22
197,Braveheart,1995-05-24
25,Jarhead,2005-11-04
35,The Simpsons Movie,2007-07-25
11086,The Majestic,2001-12-21
10477,Driven,2001-04-27
1997,Two Brothers,2004-04-07
6947,The Village,2004-07-30
3050,Doctor Dolittle,1998-06-22
2675,Signs,2002-08-02
809,Shrek 2,2004-05-19
920,Cars,2006-06-08
4806,Runaway Bride,1999-07-30
7451,xXx,2002-08-09
228165,The SpongeBob Movie: Sponge Out of Water,2015-02-05
3595,Ransom,1996-11-08
16869,Inglourious Basterds,2009-08-18
879,Hook,1991-12-11
1573,Die Hard 2,1990-07-02
9257,S.W.A.T.,2003-08-08
1903,Vanilla Sky,2001-12-10
9697,Lady in the Water,2006-07-21
395,AVP: Alien vs. Predator,2004-08-12
23398,Alvin and the Chipmunks: The Squeakquel,2009-12-21
10590,We Were Soldiers,2002-03-01
117263,Olympus Has Fallen,2013-03-20
200,Star Trek: Insurrection,1998-12-10
44943,Battle: Los Angeles,2011-03-08
587,Big Fish,2003-12-25
10395,Wolf,1994-06-17
57212,War Horse,2011-12-25
152760,The Monuments Men,2014-01-24
2756,The Abyss,1989-08-09
33909,Wall Street: Money Never Sleeps,2010-09-02
49017,Dracula Untold,2014-10-01
9882,The Siege,1998-11-06
2270,Stardust,2007-08-09
978,Seven Years in Tibet,1997-09-12
44564,The Dilemma,2011-01-13
3132,Bad Company,2002-06-07
8814,Doom,2005-10-20
8427,I Spy,2002-10-31
52520,Underworld: Awakening,2012-01-19
80585,Rock of Ages,2012-06-13
10592,Hart's War,2002-02-15
49021,Killer Elite,2011-09-23
11535,Rollerball,2002-02-08
10550,Ballistic: Ecks vs. Sever,2002-09-20
11258,Hard Rain,1998-01-16
12610,Osmosis Jones,2001-08-07
59981,Legends of Oz: Dorothy's Return,2013-06-13
201088,Blackhat,2015-01-13
5137,Sky Captain and the World of Tomorrow,2004-09-17
3093,Basic Instinct 2,2006-03-29
107846,Escape Plan,2013-10-09
188207,The Legend of Hercules,2014-01-10
4614,The Sum of All Fears,2002-05-31
24021,The Twilight Saga: Eclipse,2010-06-23
11371,The Score,2001-07-13
20352,Despicable Me,2010-07-08
11517,Money Train,1995-11-21
214756,Ted 2,2015-06-25
26428,Agora,2009-05-17
9824,Mystery Men,1999-08-06
48988,Hall Pass,2011-02-25
9008,The Insider,1999-10-28
300673,The Finest Hours,2016-01-25
12113,Body of Lies,2008-10-10
38778,Dinner for Schmucks,2010-07-30
72331,Abraham Lincoln: Vampire Hunter,2012-06-20
1844,Entrapment,1999-04-29
846,The X Files,1998-06-19
9703,The Last Legion,2007-04-19
857,Saving Private Ryan,1998-07-24
136797,Need for Speed,2014-03-13
3981,What Women Want,2000-12-15
425,Ice Age,2002-03-10
6171,Dreamcatcher,2003-03-21
72976,Lincoln,2012-11-09
603,The Matrix,1999-03-30
568,Apollo 13,1995-06-30
9021,The Santa Clause 2,2002-10-31
82695,Les Misérables,2012-12-18
9489,You've Got Mail,1998-12-17
12133,Step Brothers,2008-07-25
9342,The Mask of Zorro,1998-07-16
41733,Due Date,2010-11-04
227306,Unbroken,2014-12-25
5551,Space Cowboys,2000-07-31
9350,Cliffhanger,1993-05-28
9208,Broken Arrow,1996-02-09
4244,The Kid,2000-07-07
1852,World Trade Center,2006-08-09
11820,Mona Lisa Smile,2003-12-19
76493,The Dictator,2012-05-15
345,Eyes Wide Shut,1999-07-14
196867,Annie,2014-12-19
256591,Focus,2015-02-25
59962,This Means War,2012-02-14
36648,Blade: Trinity,2004-12-08
1880,Red Dawn,1984-08-10
9440,Primary Colors,1998-03-20
71679,Resident Evil: Retribution,2012-09-12
10483,Death Race,2008-08-22
11412,The Long Kiss Goodnight,1996-10-11
11983,Proof of Life,2000-12-08
6795,Zathura: A Space Adventure,2005-11-06
550,Fight Club,1999-10-15
11170,We Are Marshall,2006-12-12
9292,Hudson Hawk,1991-05-23
10783,Lucky Numbers,2000-10-27
100241,"I, Frankenstein",2014-01-22
257,Oliver Twist,2005-09-23
9947,Elektra,2005-01-13
189,Sin City: A Dame to Kill For,2014-08-20
12618,Random Hearts,1999-10-08
253412,Everest,2015-09-10
1427,Perfume: The Story of a Murderer,2006-09-13
818,Austin Powers in Goldmember,2002-07-26
16577,Astro Boy,2009-10-15
329,Jurassic Park,1993-06-11
12160,Wyatt Earp,1994-06-24
9331,Clear and Present Danger,1994-08-03
300168,Dragon Blade,2015-02-19
9072,Little Man,2006-08-31
3536,U-571,2000-04-20
9087,The American President,1995-11-17
12177,The Love Guru,2008-06-20
12138,3000 Miles to Graceland,2001-02-23
273248,The Hateful Eight,2015-12-25
9955,Blades of Glory,2007-03-30
50359,Hop,2011-03-30
1271,300,2006-12-09
693,Meet the Fockers,2004-12-22
14306,Marley & Me,2008-12-25
497,The Green Mile,1999-12-10
11199,Wild Hogs,2007-03-02
9982,Chicken Little,2005-11-04
210577,Gone Girl,2014-10-01
2501,The Bourne Identity,2002-06-14
710,GoldenEye,1995-11-16
2275,The General's Daughter,1999-06-18
37165,The Truman Show,1998-06-04
9837,The Prince of Egypt,1998-12-15
10708,Daddy Day Care,2003-05-03
136400,2 Guns,2013-08-02
10992,Cats & Dogs,2001-07-04
9654,The Italian Job,2003-05-30
2642,Two Weeks Notice,2002-12-19
8916,Antz,1998-10-02
19899,Couples Retreat,2009-09-19
2119,Days of Thunder,1990-06-27
9641,Cheaper by the Dozen 2,2005-12-21
294254,Maze Runner: The Scorch Trials,2015-09-09
38167,Eat Pray Love,2010-08-12
5994,The Family Man,2000-12-12
39514,RED,2010-10-13
9563,Any Given Sunday,1999-12-16
547,The Horse Whisperer,1998-05-14
1538,Collateral,2004-08-04
9334,The Scorpion King,2002-04-16
11128,Ladder 49,2004-10-01
75780,Jack Reacher,2012-12-20
8914,Deep Blue Sea,1999-07-28
13576,This Is It,2009-10-28
39538,Contagion,2011-09-08
10628,Kangaroo Jack,2003-01-17
14836,Coraline,2009-02-05
8645,The Happening,2008-06-11
9509,Man on Fire,2004-04-23
10067,The Shaggy Dog,2006-03-09
9384,Starsky & Hutch,2004-03-05
9279,Jingle All the Way,1996-11-15
1487,Hellboy,2004-04-02
9422,A Civil Action,1998-03-05
77174,ParaNorman,2012-08-03
4824,The Jackal,1997-11-14
9620,Paycheck,2003-12-25
9302,Up Close & Personal,1996-03-01
10199,The Tale of Despereaux,2008-12-19
10771,The Tuxedo,2002-09-27
3512,Under Siege 2: Dark Territory,1995-07-13
